repo,week_unix,commits,commit_source,default_branch
openchrom/openchrom,1371945600,6,git,develop
openchrom/openchrom,1372550400,5,git,develop
openchrom/openchrom,1373155200,6,git,develop
openchrom/openchrom,1374364800,3,git,develop
openchrom/openchrom,1374969600,7,git,develop
openchrom/openchrom,1382227200,12,git,develop
openchrom/openchrom,1383436800,5,git,develop
openchrom/openchrom,1384041600,4,git,develop
openchrom/openchrom,1384646400,8,git,develop
openchrom/openchrom,1385251200,17,git,develop
openchrom/openchrom,1385856000,6,git,develop
openchrom/openchrom,1386460800,4,git,develop
openchrom/openchrom,1388275200,4,git,develop
openchrom/openchrom,1389484800,6,git,develop
openchrom/openchrom,1390694400,4,git,develop
openchrom/openchrom,1391299200,1,git,develop
openchrom/openchrom,1391904000,1,git,develop
openchrom/openchrom,1392508800,4,git,develop
openchrom/openchrom,1393113600,6,git,develop
openchrom/openchrom,1393718400,11,git,develop
openchrom/openchrom,1394323200,2,git,develop
openchrom/openchrom,1394928000,4,git,develop
openchrom/openchrom,1395532800,1,git,develop
openchrom/openchrom,1396137600,2,git,develop
openchrom/openchrom,1397347200,8,git,develop
openchrom/openchrom,1398556800,4,git,develop
openchrom/openchrom,1399161600,3,git,develop
openchrom/openchrom,1399766400,5,git,develop
openchrom/openchrom,1403395200,1,git,develop
openchrom/openchrom,1404604800,1,git,develop
openchrom/openchrom,1406419200,9,git,develop
openchrom/openchrom,1407024000,10,git,develop
openchrom/openchrom,1408233600,22,git,develop
openchrom/openchrom,1408838400,3,git,develop
openchrom/openchrom,1409443200,5,git,develop
openchrom/openchrom,1410652800,16,git,develop
openchrom/openchrom,1411257600,11,git,develop
openchrom/openchrom,1411862400,20,git,develop
openchrom/openchrom,1414886400,2,git,develop
openchrom/openchrom,1415491200,14,git,develop
openchrom/openchrom,1420329600,5,git,develop
openchrom/openchrom,1421539200,3,git,develop
openchrom/openchrom,1422144000,9,git,develop
openchrom/openchrom,1424563200,10,git,develop
openchrom/openchrom,1426377600,1,git,develop
openchrom/openchrom,1426982400,1,git,develop
openchrom/openchrom,1427587200,1,git,develop
openchrom/openchrom,1428192000,5,git,develop
openchrom/openchrom,1428796800,2,git,develop
openchrom/openchrom,1430006400,12,git,develop
openchrom/openchrom,1430611200,3,git,develop
openchrom/openchrom,1431216000,13,git,develop
openchrom/openchrom,1431820800,3,git,develop
openchrom/openchrom,1432425600,3,git,develop
openchrom/openchrom,1433635200,11,git,develop
openchrom/openchrom,1434240000,7,git,develop
openchrom/openchrom,1434844800,3,git,develop
openchrom/openchrom,1435449600,6,git,develop
openchrom/openchrom,1437264000,5,git,develop
openchrom/openchrom,1437868800,10,git,develop
openchrom/openchrom,1438473600,4,git,develop
openchrom/openchrom,1441497600,3,git,develop
openchrom/openchrom,1442102400,3,git,develop
openchrom/openchrom,1444521600,5,git,develop
openchrom/openchrom,1445731200,5,git,develop
openchrom/openchrom,1446336000,15,git,develop
openchrom/openchrom,1446940800,2,git,develop
openchrom/openchrom,1448150400,4,git,develop
openchrom/openchrom,1448755200,20,git,develop
openchrom/openchrom,1449360000,34,git,develop
openchrom/openchrom,1449964800,3,git,develop
openchrom/openchrom,1450569600,32,git,develop
openchrom/openchrom,1451174400,41,git,develop
openchrom/openchrom,1451779200,13,git,develop
openchrom/openchrom,1452988800,4,git,develop
openchrom/openchrom,1453593600,1,git,develop
openchrom/openchrom,1456012800,1,git,develop
openchrom/openchrom,1456617600,8,git,develop
openchrom/openchrom,1457222400,4,git,develop
openchrom/openchrom,1459036800,1,git,develop
openchrom/openchrom,1460246400,8,git,develop
openchrom/openchrom,1460851200,12,git,develop
openchrom/openchrom,1461456000,3,git,develop
openchrom/openchrom,1462060800,5,git,develop
openchrom/openchrom,1462665600,3,git,develop
openchrom/openchrom,1463270400,1,git,develop
openchrom/openchrom,1463875200,1,git,develop
openchrom/openchrom,1464480000,13,git,develop
openchrom/openchrom,1465084800,7,git,develop
openchrom/openchrom,1466294400,1,git,develop
openchrom/openchrom,1466899200,8,git,develop
openchrom/openchrom,1468713600,5,git,develop
openchrom/openchrom,1469318400,9,git,develop
openchrom/openchrom,1469923200,8,git,develop
openchrom/openchrom,1470528000,2,git,develop
openchrom/openchrom,1471737600,1,git,develop
openchrom/openchrom,1472947200,1,git,develop
openchrom/openchrom,1473552000,1,git,develop
openchrom/openchrom,1474156800,2,git,develop
openchrom/openchrom,1474761600,8,git,develop
openchrom/openchrom,1475971200,19,git,develop
openchrom/openchrom,1480204800,9,git,develop
openchrom/openchrom,1480809600,6,git,develop
openchrom/openchrom,1481414400,23,git,develop
openchrom/openchrom,1482019200,16,git,develop
openchrom/openchrom,1482624000,31,git,develop
openchrom/openchrom,1483228800,35,git,develop
openchrom/openchrom,1483833600,5,git,develop
openchrom/openchrom,1484438400,25,git,develop
openchrom/openchrom,1485043200,84,git,develop
openchrom/openchrom,1485648000,13,git,develop
openchrom/openchrom,1486252800,9,git,develop
openchrom/openchrom,1486857600,5,git,develop
openchrom/openchrom,1487462400,16,git,develop
openchrom/openchrom,1488067200,10,git,develop
openchrom/openchrom,1489276800,12,git,develop
openchrom/openchrom,1489881600,26,git,develop
openchrom/openchrom,1490486400,11,git,develop
openchrom/openchrom,1491091200,18,git,develop
openchrom/openchrom,1491696000,7,git,develop
openchrom/openchrom,1492300800,1,git,develop
openchrom/openchrom,1492905600,7,git,develop
openchrom/openchrom,1493510400,7,git,develop
openchrom/openchrom,1494115200,3,git,develop
openchrom/openchrom,1494720000,10,git,develop
openchrom/openchrom,1495929600,2,git,develop
openchrom/openchrom,1496534400,7,git,develop
openchrom/openchrom,1497139200,2,git,develop
openchrom/openchrom,1498348800,2,git,develop
openchrom/openchrom,1498953600,16,git,develop
openchrom/openchrom,1499558400,2,git,develop
openchrom/openchrom,1500163200,18,git,develop
openchrom/openchrom,1501372800,1,git,develop
openchrom/openchrom,1502582400,1,git,develop
openchrom/openchrom,1503187200,6,git,develop
openchrom/openchrom,1504396800,10,git,develop
openchrom/openchrom,1508025600,5,git,develop
openchrom/openchrom,1509840000,3,git,develop
openchrom/openchrom,1510444800,3,git,develop
openchrom/openchrom,1511049600,19,git,develop
